Timsort Performance Test Results
Generated at: 2025-04-27T19:02:00.406779200
Parameters: MIN_MERGE=32, Arrays count=51

Size,Time(ms),Iterations
130,2,1424
304,0,4589
478,0,8352
608,0,14085
881,1,22309
968,0,25471
983,0,25717
1205,0,47106
1269,0,50148
1327,0,52865
1846,0,77002
2007,0,84315
2126,0,148593
2162,0,153222
2402,0,169858
2716,1,189978
2776,1,198666
2801,1,201825
2937,1,211855
3182,2,231951
3487,2,250371
3525,2,254559
3541,3,258153
3686,3,272523
4222,4,554103
4404,0,569666
4452,0,583171
4550,0,606731
4667,0,607054
4685,0,612058
4731,1,622256
5000,1,660981
5402,1,707172
5603,2,758181
6186,1,820629
6627,1,902639
7177,1,958818
7304,2,990233
7641,6,1049873
7824,1,1070118
7895,1,1087450
8096,1,1106775
8283,2,2077302
8461,3,2162122
8756,2,2193065
8763,2,2193361
9322,2,2355098
9392,3,2392352
9669,4,2528868
9831,6,2491838
9884,2,2521295

Note: All times are in milliseconds
